"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access"
"0500000US01003","Baldwin County, Alabama","82325","3231","71538","3567","186","243","71352","3555","65447","3359","14329","2418","52864","3252","4428","1185","8344","1879","819","484","0","206","1866","916","8921","1709"
"0500000US01015","Calhoun County, Alabama","44636","2010","35353","2291","0","206","35353","2291","29979","2297","6770","1462","26201","2045","4444","1155","3152","888","869","535","0","206","1311","631","7972","1519"
"0500000US01043","Cullman County, Alabama","32090","1233","26391","1388","68","120","26323","1391","23850","1491","7985","1410","16194","1699","1910","761","3277","923","229","177","0","206","705","397","4994","1039"
"0500000US01049","DeKalb County, Alabama","24880","1347","20475","1467","82","137","20393","1453","18978","1554","5984","1250","13189","1338","1075","430","1801","670","302","207","12","20","196","127","4209","964"
"0500000US01051","Elmore County, Alabama","30712","1330","26051","1658","56","95","25995","1677","22553","1667","3691","1005","20835","1824","3124","909","1895","726","197","305","76","88","527","306","4134","1209"
"0500000US01055","Etowah County, Alabama","40053","1930","32403","1969","60","94","32343","1977","29209","2002","8711","1639","20792","1962","2489","693","4368","1153","343","210","0","206","851","489","6799","1180"
"0500000US01069","Houston County, Alabama","39761","1040","33615","1104","60","47","33555","1105","31185","1124","8648","970","23679","948","2111","391","2428","462","126","81","0","206","729","245","5417","663"
"0500000US01073","Jefferson County, Alabama","264753","3376","222696","4170","599","455","222097","4136","202178","3984","45564","4380","166777","5672","17374","2500","19064","1959","1271","598","137","118","7760","1440","34297","3152"
"0500000US01077","Lauderdale County, Alabama","38761","1573","29012","2095","184","178","28828","2131","25561","2117","6766","1272","20398","2135","3035","1143","2338","742","186","196","36","62","2310","1056","7439","1396"
"0500000US01081","Lee County, Alabama","64448","1810","54722","2315","55","100","54667","2314","51910","2274","7157","1545","44364","2745","2173","865","5947","1848","383","317","100","172","2318","1124","7408","1551"
"0500000US01083","Limestone County, Alabama","32020","1530","29635","1501","85","103","29550","1509","25592","1565","4763","1180","22853","1760","3276","872","3373","957","469","396","0","206","392","243","1993","568"
"0500000US01089","Madison County, Alabama","155878","2604","140312","3213","392","375","139920","3265","124816","3349","14137","1962","119621","3632","11596","2609","10983","2068","2952","1339","0","206","4110","1231","11456","1719"
"0500000US01095","Marshall County, Alabama","35330","1274","30127","1682","17","17","30110","1678","28709","1642","6088","1039","22420","1530","1185","392","1928","550","110","128","75","122","768","432","4435","850"
"0500000US01097","Mobile County, Alabama","155946","2876","125137","3370","2283","1003","122854","3610","113014","3860","29325","3041","85228","3858","7290","1414","13506","2005","1328","565","76","124","3321","1110","27488","2399"
"0500000US01101","Montgomery County, Alabama","88864","2242","74951","2481","117","136","74834","2476","70476","2540","8576","1450","64056","2901","4049","1077","3525","877","153","156","0","206","2864","920","11049","1779"
"0500000US01103","Morgan County, Alabama","46470","1676","36139","2134","0","206","36139","2134","26573","2061","6442","1244","25918","2076","7335","1540","4582","1058","2231","1029","0","206","3389","1043","6942","1368"
"0500000US01115","St. Clair County, Alabama","32829","1261","27870","2032","415","396","27455","2072","25207","2143","4869","1404","20838","1974","1966","803","3386","1315","173","263","0","206","1450","777","3509","1393"
"0500000US01117","Shelby County, Alabama","84048","1602","76487","1980","94","156","76393","1948","69694","2268","9162","1604","63739","2325","5676","1250","6875","1177","567","428","0","206","1491","632","6070","1250"
"0500000US01121","Talladega County, Alabama","30602","1841","25238","1752","0","206","25238","1752","21247","1926","5802","1346","16750","1803","3482","1111","3789","1131","446","493","0","206","222","193","5142","980"
"0500000US01125","Tuscaloosa County, Alabama","74259","2679","64135","2987","48","82","64087","2979","60728","3251","10602","1839","50281","2982","2708","879","5452","1152","481","304","0","206","1517","801","8607","1617"
