"GEO_ID","NAME","B06007_001E","B06007_001M","B06007_002E","B06007_002M","B06007_003E","B06007_003M","B06007_004E","B06007_004M","B06007_005E","B06007_005M","B06007_006E","B06007_006M","B06007_007E","B06007_007M","B06007_008E","B06007_008M","B06007_009E","B06007_009M","B06007_010E","B06007_010M","B06007_011E","B06007_011M","B06007_012E","B06007_012M","B06007_013E","B06007_013M","B06007_014E","B06007_014M","B06007_015E","B06007_015M","B06007_016E","B06007_016M","B06007_017E","B06007_017M","B06007_018E","B06007_018M","B06007_019E","B06007_019M","B06007_020E","B06007_020M","B06007_021E","B06007_021M","B06007_022E","B06007_022M","B06007_023E","B06007_023M","B06007_024E","B06007_024M","B06007_025E","B06007_025M","B06007_026E","B06007_026M","B06007_027E","B06007_027M","B06007_028E","B06007_028M","B06007_029E","B06007_029M","B06007_030E","B06007_030M","B06007_031E","B06007_031M","B06007_032E","B06007_032M","B06007_033E","B06007_033M","B06007_034E","B06007_034M","B06007_035E","B06007_035M","B06007_036E","B06007_036M","B06007_037E","B06007_037M","B06007_038E","B06007_038M","B06007_039E","B06007_039M","B06007_040E","B06007_040M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Speak only English","Margin of Error!!Total:!!Speak only English","Estimate!!Total:!!Speak Spanish:","Margin of Error!!Total:!!Speak Spanish:","Estimate!!Total:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Speak other languages:","Margin of Error!!Total:!!Speak other languages:","Estimate!!Total:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Born in state of residence:","Margin of Error!!Total:!!Born in state of residence:","Estimate!!Total:!!Born in state of residence:!!Speak only English","Margin of Error!!Total:!!Born in state of residence:!!Speak only English","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Born in state of residence:!!Speak other languages:","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:","Estimate!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in state of residence:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Born in other state in the United States:","Margin of Error!!Total:!!Born in other state in the United States:","Estimate!!Total:!!Born in other state in the United States:!!Speak only English","Margin of Error!!Total:!!Born in other state in the United States:!!Speak only English","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Born in other state in the United States:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Native; born outside the United States:","Margin of Error!!Total:!!Native; born outside the United States:","Estimate!!Total:!!Native; born outside the United States:!!Speak only English","Margin of Error!!Total:!!Native; born outside the United States:!!Speak only English","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Native; born outside the United States:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Speak only English","Margin of Error!!Total:!!Foreign born:!!Speak only English","Estimate!!Total:!!Foreign born:!!Speak Spanish:","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:","Estimate!!Total:!!Foreign born:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Foreign born:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign born:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Foreign born:!!Speak other languages:","Margin of Error!!Total:!!Foreign born:!!Speak other languages:","Estimate!!Total:!!Foreign born:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Foreign born:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Foreign born:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign born:!!Speak other languages:!!Speak English less than "very well""
"0500000US01001","Autauga County, Alabama","52163","107","49907","380","1356","346","1039","302","317","169","900","228","471","135","429","190","35382","982","34972","991","364","170","290","149","74","72","46","31","19","18","27","26","14656","915","14163","923","286","145","274","143","12","21","207","106","167","96","40","38","826","216","487","158","307","140","296","141","11","27","32","35","11","22","21","31","1299","283","285","137","399","161","179","111","220","144","615","222","274","109","341","195"
"0500000US01003","Baldwin County, Alabama","201141","30","190270","969","7362","775","4779","671","2583","516","3509","661","2547","509","962","374","104391","2400","102797","2398","1263","422","1049","395","214","115","331","131","306","126","25","32","87011","2588","83681","2514","2381","623","2019","493","362","305","949","319","872","308","77","63","1884","390","1463","344","417","196","295","179","122","114","4","8","4","8","0","28","7855","877","2329","503","3301","662","1416","355","1885","575","2225","503","1365","336","860","373"
"0500000US01005","Barbour County, Alabama","24012","26","22297","199","1384","183","880","131","504","162","331","91","208","75","123","54","16399","427","15801","433","538","106","395","76","143","77","60","36","39","26","21","21","6856","445","6415","451","321","149","121","75","200","130","120","63","78","50","42","33","68","41","27","26","41","35","33","36","8","13","0","22","0","22","0","22","689","89","54","34","484","78","331","102","153","78","151","48","91","44","60","36"
"0500000US01007","Bibb County, Alabama","21178","170","20691","231","432","123","157","103","275","130","55","55","55","55","0","22","17557","611","17472","608","71","59","71","59","0","22","14","17","14","17","0","22","3171","544","3089","542","82","97","51","70","31","41","0","22","0","22","0","22","110","93","101","91","9","18","9","18","0","22","0","22","0","22","0","22","340","153","29","32","270","121","26","38","244","130","41","54","41","54","0","22"
"0500000US01009","Blount County, Alabama","54249","71","49814","316","4112","249","2316","268","1796","274","323","120","283","107","40","34","42839","841","41269","872","1488","226","1233","243","255","146","82","61","80","60","2","5","8600","793","8016","740","573","206","525","188","48","49","11","16","11","16","0","28","208","110","143","92","55","57","0","28","55","57","10","15","5","13","5","9","2602","238","386","126","1996","200","558","142","1438","206","220","105","187","99","33","30"
"0500000US01011","Bullock County, Alabama","9706","4","9376","258","256","265","178","251","78","73","74","52","53","46","21","25","8314","416","8099","479","192","257","178","251","14","30","23","35","23","35","0","19","1257","389","1208","388","35","41","0","19","35","41","14","21","0","19","14","21","63","60","34","31","29","49","0","19","29","49","0","19","0","19","0","19","72","65","35","54","0","19","0","19","0","19","37","36","30","32","7","13"
"0500000US01013","Butler County, Alabama","18679","37","18436","98","127","84","101","73","26","36","116","66","76","42","40","36","16001","305","15907","298","80","63","80","63","0","19","14","16","14","16","0","19","2465","299","2416","297","21","32","21","32","0","19","28","19","28","19","0","19","60","49","55","46","0","19","0","19","0","19","5","8","5","8","0","19","153","77","58","41","26","36","0","19","26","36","69","56","29","29","40","36"
"0500000US01015","Calhoun County, Alabama","108010","73","103313","482","3565","395","2291","355","1274","245","1132","223","737","198","395","127","76333","1345","75530","1331","672","227","570","208","102","76","131","72","131","72","0","28","27182","1369","25876","1396","1123","322","1005","299","118","99","183","99","175","97","8","9","1444","394","1016","269","414","291","352","234","62","74","14","17","14","17","0","28","3051","372","891","311","1356","241","364","161","992","182","804","205","417","169","387","126"
"0500000US01017","Chambers County, Alabama","31617","51","30848","172","386","110","208","96","178","122","383","81","162","72","221","78","22992","666","22938","663","23","28","16","24","7","14","31","29","31","29","0","25","7834","669","7655","652","132","98","132","98","0","25","47","34","36","31","11","16","172","103","172","103","0","25","0","25","0","25","0","25","0","25","0","25","619","181","83","67","231","150","60","33","171","124","305","63","95","58","210","81"
